diver_id,diver_number,height,ave_score,high_score,times_competed
10053,001A,001A,3M,17.67,21.50,6
10053,001B,001B,3M,15.83,16.50,3
10053,002A,002A,3M,21.71,31.35,4
10053,100A,100A,3M,16.83,18.00,6
10053,100C,100C,3M,18.33,19.50,3
10053,101B,101B,1M,15.60,19.50,3
10053,101C,101C,1M,18.43,21.00,14
10053,101C,101C,3M,22.05,27.30,8
10053,102C,102C,1M,14.53,20.30,4
10053,103B,103B,1M,28.48,35.70,4
10053,103C,103C,1M,22.00,28.00,10
10053,103C,103C,3M,24.00,24.00,2
10053,104C,104C,1M,25.30,36.30,4
10053,200A,200A,3M,17.72,20.00,9
10053,201A,201A,1M,21.01,30.60,7
10053,201C,201C,1M,17.25,24.00,11
10053,202A,202A,1M,22.10,22.95,2
10053,202C,202C,1M,19.93,25.50,14
10053,301C,301C,1M,22.67,27.20,6
10053,302C,302C,1M,23.29,28.80,9
10053,302C,302C,3M,24.70,24.70,1
10053,401B,401B,1M,22.50,26.25,3
10053,401C,401C,1M,20.63,23.80,15
10053,401C,401C,3M,20.47,25.65,9
10053,402C,402C,1M,21.60,26.40,5
10053,5122D,5122D,1M,28.98,30.40,2
10053,5211A,5211A,1M,22.87,31.50,17
10053,5211A,5211A,3M,22.38,28.00,8
10053,5221D,5221D,1M,10.88,19.55,5
10072,101B,101B,3M,45.72,52.80,56
10072,101B,101B,5M,27.30,30.55,3
10072,103B,103B,1M,35.61,40.80,28
10072,103B,103B,3M,34.23,39.20,32
10072,103B,103B,5M,31.68,34.68,3
10072,103B,103B,7.5M,32.80,36.00,10
10072,103B,103B,10M,37.20,38.40,2
10072,103C,103C,1M,36.80,40.00,6
10072,104B,104B,1M,48.99,48.99,1
10072,104C,104C,1M,41.43,42.90,3
10072,105B,105B,1M,52.43,62.40,88
10072,105B,105B,3M,48.69,61.20,58
10072,105B,105B,5M,47.67,53.30,3
10072,105C,105C,1M,43.35,50.40,16
10072,105C,105C,5M,43.87,52.80,14
10072,107B,107B,3M,59.43,76.26,107
10072,107B,107B,10M,53.70,66.00,5
10072,107C,107C,3M,50.21,65.80,31
10072,107C,107C,7.5M,49.00,49.00,1
10072,201B,201B,1M,34.07,39.20,17
10072,201B,201B,3M,43.71,51.00,31
10072,203B,203B,1M,48.95,58.65,75
10072,203B,203B,3M,47.03,51.15,16
10072,203C,203C,1M,24.25,27.00,4
10072,205B,205B,3M,62.69,77.40,150
10072,205C,205C,3M,49.93,63.00,41
10072,205C,205C,5M,30.50,48.00,3
10072,207C,207C,10M,40.43,44.55,2
10072,301B,301B,1M,36.51,42.50,29
10072,301B,301B,3M,46.24,53.40,94
10072,301B,301B,5M,38.25,38.25,1
10072,301B,301B,7.5M,41.09,45.60,8
10072,301C,301C,1M,28.00,30.40,2
10072,301C,301C,3M,33.55,37.80,11
10072,301C,301C,5M,28.13,32.00,5
10072,301C,301C,7.5M,31.95,36.00,2
10072,302A,302A,1M,43.74,43.74,1
10072,303B,303B,1M,53.93,67.20,89
10072,303B,303B,3M,44.51,51.75,10
10072,303C,303C,3M,28.00,34.00,5
10072,305B,305B,3M,58.47,81.00,79
10072,305C,305C,3M,55.80,75.60,47
10072,305C,305C,7.5M,37.80,37.80,1
10072,305C,305C,10M,58.32,71.55,5
10072,401B,401B,1M,32.15,39.00,29
10072,401B,401B,3M,49.36,53.40,77
10072,401B,401B,5M,29.25,29.25,1
10072,403B,403B,1M,50.21,61.20,104
10072,403B,403B,3M,43.00,55.65,51
10072,403B,403B,5M,38.28,46.80,4
10072,403B,403B,7.5M,41.79,51.45,10
10072,403B,403B,10M,42.00,48.00,2
10072,405B,405B,3M,60.49,74.70,78
10072,405C,405C,3M,53.93,68.85,85
10072,405C,405C,5M,50.32,66.65,15
10072,405C,405C,7.5M,55.35,56.70,3
10072,407C,407C,10M,65.28,75.20,5
10072,5132D,5132D,1M,41.67,49.50,35
10072,5132D,5132D,3M,36.83,45.15,13
10072,5132D,5132D,5M,41.31,46.20,8
10072,5142B,5142B,1M,45.10,52.65,11
10072,5152B,5152B,3M,64.37,78.30,201
10072,5231D,5231D,1M,41.94,46.20,17
10072,5231D,5231D,3M,43.25,49.00,24
10072,5231D,5231D,5M,38.33,40.95,2
10072,5231D,5231D,7.5M,39.38,45.00,8
10072,5231D,5231D,10M,42.50,44.00,2
10072,5233D,5233D,1M,40.00,45.00,2
10072,5233D,5233D,3M,45.77,48.00,7
10072,5233D,5233D,5M,43.75,48.75,8
10072,5253B,5253B,10M,45.05,45.90,2
10072,5331D,5331D,1M,47.37,56.10,45
10072,5333D,5333D,1M,52.36,63.70,40
10072,612B,612B,5M,26.39,30.60,4
10072,612B,612B,7.5M,27.90,27.90,1
10072,612B,612B,10M,33.73,36.10,2
10335,103B,103B,1M,32.81,35.70,5
10335,103B,103B,3M,29.60,32.00,4
10335,105B,105B,1M,32.93,33.80,3
10335,105B,105B,3M,42.60,49.20,4
10335,105C,105C,1M,43.20,44.40,2
10335,201B,201B,1M,33.44,35.20,5
10335,201B,201B,3M,36.68,38.70,4
10335,203B,203B,1M,37.72,41.40,5
10335,205C,205C,3M,42.35,46.20,4
10335,301B,301B,1M,33.83,37.40,5
10335,301B,301B,3M,35.63,38.00,4
10335,303B,303B,1M,29.40,39.60,4
10335,303C,303C,1M,29.40,29.40,1
10335,305C,305C,3M,35.70,42.00,4
10335,401B,401B,1M,29.55,30.75,5
10335,403B,403B,1M,46.32,50.40,5
10335,403B,403B,3M,39.38,40.95,4
10335,405C,405C,3M,48.94,52.65,4
10335,5132D,5132D,3M,39.11,40.95,4
10335,5134D,5134D,1M,40.30,44.20,5
10335,5233D,5233D,1M,40.75,48.75,5
10335,5235D,5235D,3M,43.40,46.20,4
10302,101B,101B,1M,24.38,24.70,2
10302,103B,103B,1M,32.07,35.70,17
10302,103B,103B,3M,30.48,34.40,20
10302,103B,103B,10M,31.72,35.20,8
10302,105B,105B,1M,46.91,56.55,39
10302,105B,105B,7.5M,46.80,46.80,1
10302,105C,105C,1M,40.80,44.40,3
10302,107B,107B,3M,53.86,65.10,10
10302,107C,107C,1M,34.50,34.50,1
10302,107C,107C,3M,46.34,58.80,29
10302,107C,107C,10M,49.20,60.75,13
10302,201B,201B,1M,30.76,34.40,18
10302,201B,201B,3M,33.58,40.50,20
10302,201C,201C,1M,30.75,30.75,1
10302,203B,203B,1M,38.46,46.00,21
10302,205B,205B,3M,51.14,65.25,16
10302,205C,205C,1M,48.71,60.00,21
10302,205C,205C,3M,50.75,64.40,25
10302,205C,205C,5M,44.83,63.00,9
10302,301B,301B,1M,30.94,34.00,17
10302,301B,301B,3M,33.05,40.85,19
10302,301B,301B,7.5M,34.96,36.10,5
10302,301C,301C,1M,29.60,29.60,1
10302,301C,301C,3M,29.70,29.70,1
10302,301C,301C,5M,31.20,31.20,1
10302,301C,301C,7.5M,29.70,29.70,1
10302,303B,303B,1M,33.87,43.20,9
10302,305B,305B,3M,46.88,58.50,14
10302,305C,305C,1M,43.62,64.50,32
10302,305C,305C,3M,45.14,64.40,27
10302,305C,305C,5M,30.75,39.00,4
10302,305C,305C,7.5M,40.95,54.60,8
10302,401B,401B,1M,29.64,33.00,19
10302,403B,403B,1M,44.41,52.80,23
10302,403B,403B,3M,39.20,45.15,20
10302,403B,403B,10M,37.23,40.00,8
10302,405C,405C,1M,52.66,65.10,21
10302,405C,405C,3M,48.78,56.70,37
10302,405C,405C,7.5M,44.96,58.05,14
10302,5132D,5132D,1M,41.46,45.10,19
10302,5132D,5132D,3M,41.53,47.25,20
10302,5132D,5132D,10M,41.16,47.25,8
10302,5152B,5152B,3M,52.21,66.00,26
10302,5233D,5233D,1M,42.71,52.50,14
10302,5233D,5233D,5M,44.25,51.25,5
10302,5235D,5235D,3M,52.04,60.20,29
10302,5235D,5235D,7.5M,47.79,57.40,9
10302,5333D,5333D,1M,49.49,59.80,22
10302,5335D,5335D,1M,50.11,66.00,22
10302,5335D,5335D,3M,51.23,53.65,3
10302,5337D,5337D,3M,33.00,33.00,1
10302,5353C,5353C,3M,39.05,44.55,3
10302,612B,612B,7.5M,22.50,22.50,1
10302,612B,612B,10M,29.45,34.20,3
10302,614B,614B,10M,36.48,45.60,5
10425,103B,103B,1M,34.97,36.55,7
10425,103B,103B,3M,32.69,36.00,9
10425,103B,103B,7.5M,34.88,35.20,2
10425,103B,103B,10M,43.20,48.60,4
10425,103C,103C,3M,25.50,25.50,1
10425,103C,103C,5M,36.80,36.80,1
10425,104B,104B,1M,36.23,44.85,11
10425,105B,105B,1M,48.23,61.10,36
10425,105B,105B,3M,49.35,61.20,38
10425,105B,105B,5M,48.95,54.60,4
10425,105C,105C,1M,31.20,31.20,1
10425,107B,107B,10M,61.44,81.00,148
10425,107C,107C,3M,49.00,61.60,15
10425,107C,107C,10M,41.40,51.30,3
10425,201B,201B,1M,28.57,34.40,7
10425,201B,201B,3M,32.86,41.40,11
10425,201B,201B,10M,44.64,50.40,39
10425,203A,203A,3M,34.80,34.80,1
10425,203B,203B,1M,40.58,51.75,43
10425,203B,203B,5M,33.35,33.35,1
10425,205B,205B,10M,45.47,69.60,45
10425,205C,205C,3M,45.84,67.20,25
10425,205C,205C,5M,47.75,58.50,6
10425,207C,207C,10M,45.97,74.25,54
10425,301B,301B,1M,33.03,36.55,7
10425,301B,301B,3M,38.14,44.65,7
10425,301B,301B,5M,36.55,37.40,3
10425,301B,301B,10M,44.16,49.20,45
10425,303B,303B,1M,42.62,61.20,32
10425,303C,303C,1M,35.39,44.10,5
10425,303C,303C,5M,30.45,30.45,1
10425,305C,305C,3M,44.86,68.60,25
10425,401B,401B,1M,29.46,36.00,7
10425,403B,403B,1M,50.15,57.60,45
10425,403B,403B,3M,43.53,52.50,13
10425,403B,403B,5M,49.20,55.20,2
10425,403B,403B,7.5M,44.00,45.15,2
10425,403B,403B,10M,42.67,47.00,3
10425,405B,405B,10M,58.73,75.60,39
10425,405C,405C,3M,51.26,68.85,38
10425,405C,405C,7.5M,66.56,67.50,2
10425,407C,407C,10M,61.18,81.60,113
10425,5132D,5132D,1M,41.56,51.15,21
10425,5225D,5225D,1M,28.35,28.35,1
10425,5231D,5231D,1M,32.20,44.10,6
10425,5231D,5231D,3M,40.38,44.40,9
10425,5231D,5231D,5M,43.05,43.05,1
10425,5231D,5231D,7.5M,49.20,50.40,2
10425,5231D,5231D,10M,49.00,54.00,5
10425,5233D,5233D,1M,48.73,60.00,28
10425,5233D,5233D,3M,46.97,51.60,23
10425,5233D,5233D,5M,49.58,52.50,6
10425,5233D,5233D,7.5M,48.72,55.44,2
10425,5235D,5235D,3M,53.11,65.10,15
10425,5251B,5251B,10M,58.07,62.40,6
10425,5253B,5253B,10M,65.20,84.80,133
10425,5253C,5253C,10M,63.20,73.60,2
10425,5333D,5333D,1M,53.47,61.10,15
10425,5333D,5333D,3M,43.84,51.25,7
10425,612B,612B,5M,39.95,39.95,1
10425,612B,612B,7.5M,44.73,46.80,2
10425,612B,612B,10M,43.70,48.45,5
10425,614B,614B,10M,51.15,61.20,35
10425,6241B,6241B,10M,49.95,54.00,2
10425,6243D,6243D,10M,60.13,81.60,72
10477,101B,101B,1M,22.97,24.05,3
10477,101B,101B,3M,28.75,31.50,6
10477,101B,101B,5M,22.75,23.40,2
10477,103B,103B,1M,35.18,44.20,39
10477,103B,103B,3M,35.19,43.20,46
10477,103B,103B,5M,29.75,29.75,1
10477,103B,103B,7.5M,36.58,44.80,18
10477,103B,103B,10M,43.27,56.40,14
10477,104B,104B,1M,42.17,48.30,3
10477,104C,104C,1M,35.91,42.90,14
10477,105B,105B,1M,48.60,61.10,51
10477,105B,105B,3M,50.70,60.00,98
10477,105B,105B,5M,48.93,59.28,23
10477,105B,105B,7.5M,50.13,66.00,9
10477,105C,105C,1M,45.33,58.80,18
10477,105C,105C,3M,28.00,39.60,11
10477,105C,105C,5M,38.40,48.00,3
10477,107B,107B,10M,50.28,72.00,23
10477,107C,107C,3M,43.40,54.60,13
10477,107C,107C,7.5M,41.07,46.20,3
10477,201B,201B,1M,33.01,40.00,35
10477,201B,201B,3M,38.35,47.70,49
10477,203B,203B,1M,44.98,54.05,65
10477,203C,203C,1M,31.81,42.00,32
10477,205B,205B,7.5M,49.50,49.50,1
10477,205B,205B,10M,56.36,79.75,31
10477,205C,205C,3M,50.71,65.80,90
10477,205C,205C,5M,54.00,54.00,1
10477,205C,205C,7.5M,55.30,64.40,4
10477,207C,207C,10M,28.46,39.60,4
10477,301B,301B,1M,36.30,45.90,41
10477,301B,301B,3M,40.77,51.30,35
10477,301B,301B,5M,34.25,41.65,17
10477,301B,301B,7.5M,52.01,55.10,4
10477,301B,301B,10M,43.38,52.25,12
10477,303B,303B,1M,48.48,57.60,55
10477,303C,303C,1M,27.04,49.35,4
10477,303C,303C,3M,36.00,42.00,5
10477,303C,303C,5M,43.89,44.73,2
10477,305C,305C,3M,53.40,69.30,80
10477,305C,305C,7.5M,42.00,54.60,2
10477,305C,305C,10M,51.33,66.15,35
10477,401B,401B,1M,33.36,40.50,40
10477,401B,401B,3M,37.53,48.60,4
10477,401C,401C,1M,35.70,35.70,1
10477,403B,403B,1M,50.79,61.20,69
10477,403B,403B,3M,45.12,55.65,38
10477,403B,403B,5M,42.80,46.80,3
10477,403B,403B,7.5M,44.16,58.80,18
10477,403B,403B,10M,51.51,60.00,14
10477,403C,403C,1M,38.85,51.70,25
10477,404C,404C,3M,36.00,43.20,10
10477,404C,404C,5M,36.40,40.60,2
10477,405B,405B,10M,59.73,74.20,24
10477,405C,405C,3M,52.62,67.50,86
10477,405C,405C,5M,40.30,40.30,1
10477,405C,405C,7.5M,50.50,69.66,20
10477,407C,407C,10M,51.40,70.40,8
10477,5122D,5122D,1M,22.33,26.60,2
10477,5124D,5124D,1M,35.65,35.65,1
10477,5132D,5132D,1M,46.61,52.80,58
10477,5132D,5132D,3M,44.89,55.65,37
10477,5132D,5132D,5M,38.50,45.10,3
10477,5132D,5132D,7.5M,40.09,48.30,11
10477,5132D,5132D,10M,52.24,54.60,4
10477,5134D,5134D,1M,44.05,55.90,30
10477,5134D,5134D,3M,42.92,53.75,3
10477,5223D,5223D,1M,37.32,43.70,22
10477,5225D,5225D,1M,45.39,48.60,8
10477,5231D,5231D,3M,34.40,39.00,5
10477,5231D,5231D,5M,35.00,40.95,3
10477,5233D,5233D,1M,42.32,52.50,14
10477,5233D,5233D,3M,47.49,56.40,53
10477,5233D,5233D,5M,46.82,55.00,11
10477,5233D,5233D,7.5M,32.70,43.20,4
10477,5235D,5235D,3M,51.34,63.00,79
10477,5235D,5235D,7.5M,58.10,67.20,6
10477,5253B,5253B,10M,48.53,72.00,21
10477,612B,612B,5M,30.60,30.60,1
10477,612B,612B,7.5M,46.80,53.10,4
10477,612B,612B,10M,46.79,53.20,8
10477,614B,614B,10M,51.12,61.20,5
10476,101B,101B,1M,19.11,24.05,5
10476,101B,101B,3M,27.00,27.75,3
10476,101B,101B,5M,20.15,20.15,1
10476,101B,101B,7.5M,25.20,30.00,5
10476,103B,103B,1M,28.05,33.15,21
10476,103B,103B,3M,26.58,30.40,26
10476,103B,103B,7.5M,26.72,30.40,5
10476,103B,103B,10M,27.20,35.20,10
10476,103C,103C,1M,24.00,24.00,1
10476,103C,103C,3M,20.25,20.25,1
10476,103C,103C,5M,16.80,16.80,1
10476,104B,104B,1M,36.23,36.23,1
10476,104C,104C,1M,33.57,44.00,27
10476,105B,105B,3M,36.36,41.40,5
10476,105B,105B,7.5M,33.17,46.80,14
10476,105B,105B,10M,25.30,25.30,1
10476,105C,105C,1M,36.00,36.00,1
10476,105C,105C,3M,35.01,47.30,23
10476,105C,105C,5M,28.46,38.40,7
10476,201B,201B,1M,26.55,34.40,21
10476,201B,201B,3M,31.01,38.70,24
10476,201B,201B,7.5M,31.50,31.50,1
10476,201C,201C,1M,26.81,32.25,4
10476,201C,201C,3M,26.56,33.15,4
10476,201C,201C,5M,24.60,30.75,5
10476,201C,201C,7.5M,32.02,33.15,3
10476,202C,202C,3M,16.00,16.00,1
10476,203B,203B,1M,43.99,44.85,2
10476,203B,203B,3M,35.34,46.20,16
10476,203B,203B,5M,31.32,42.55,13
10476,203C,203C,1M,25.23,37.00,26
10476,203C,203C,3M,24.38,28.50,3
10476,203C,203C,5M,25.50,33.00,2
10476,301B,301B,1M,27.77,34.85,15
10476,301B,301B,3M,31.07,41.80,20
10476,301B,301B,7.5M,28.18,34.20,6
10476,301B,301B,10M,37.05,44.65,10
10476,301C,301C,1M,24.87,31.20,11
10476,301C,301C,3M,29.48,39.60,8
10476,301C,301C,5M,25.00,28.80,4
10476,301C,301C,7.5M,35.10,39.60,2
10476,302C,302C,1M,24.80,24.80,1
10476,303B,303B,3M,40.54,43.13,2
10476,303C,303C,1M,35.18,42.53,5
10476,303C,303C,3M,27.67,33.00,3
10476,303C,303C,5M,25.20,28.35,2
10476,401B,401B,1M,27.41,32.25,22
10476,401B,401B,3M,25.71,31.50,11
10476,401B,401B,5M,18.00,24.75,2
10476,401B,401B,7.5M,21.53,25.90,4
10476,402C,402C,1M,26.40,26.40,1
10476,403B,403B,1M,36.90,41.40,2
10476,403B,403B,3M,35.28,44.10,15
10476,403B,403B,7.5M,36.75,40.95,5
10476,403B,403B,10M,34.00,42.00,12
10476,403C,403C,1M,32.88,45.10,27
10476,403C,403C,3M,28.60,33.25,10
10476,403C,403C,5M,32.45,36.30,6
10476,404C,404C,3M,32.18,38.40,11
10476,404C,404C,5M,36.40,36.40,1
10476,405C,405C,3M,29.20,38.48,4
10476,405C,405C,7.5M,42.27,58.05,16
10476,5122D,5122D,1M,22.56,27.55,4
10476,5132D,5132D,1M,31.68,39.60,5
10476,5132D,5132D,3M,28.98,39.90,15
10476,5132D,5132D,5M,27.50,29.70,3
10476,5132D,5132D,7.5M,22.05,31.50,3
10476,5134D,5134D,3M,32.82,41.25,2
10476,5221D,5221D,1M,20.40,21.25,2
10476,5223D,5223D,1M,33.85,43.13,15
10476,5231D,5231D,1M,26.85,37.80,7
10476,5231D,5231D,3M,29.59,40.00,17
10476,5231D,5231D,5M,35.18,42.00,2
10476,5231D,5231D,7.5M,35.17,48.00,6
10476,5231D,5231D,10M,20.50,24.00,2
10476,5233D,5233D,3M,34.84,46.80,16
10476,5233D,5233D,7.5M,35.55,45.60,8
10476,612B,612B,7.5M,27.30,31.50,3
10476,612B,612B,10M,38.00,39.90,5
10476,612C,612C,5M,24.38,24.75,2
10082,101B,101B,1M,22.66,27.95,14
10082,101B,101B,3M,25.13,30.75,10
10082,101C,101C,1M,22.80,26.40,4
10082,101C,101C,3M,23.57,25.20,3
10082,101C,101C,5M,19.80,19.80,1
10082,103B,103B,1M,35.42,43.35,58
10082,103B,103B,3M,32.47,40.80,63
10082,103B,103B,5M,29.50,35.70,10
10082,103C,103C,1M,29.52,35.20,10
10082,104C,104C,1M,37.13,41.80,4
10082,105B,105B,1M,52.76,65.00,63
10082,105B,105B,3M,47.90,56.40,31
10082,105B,105B,5M,39.00,39.00,1
10082,105C,105C,1M,39.58,51.60,12
10082,105C,105C,3M,41.25,49.50,4
10082,105C,105C,5M,36.60,42.00,4
10082,107B,107B,3M,58.59,75.95,25
10082,107C,107C,1M,26.50,46.50,6
10082,107C,107C,3M,53.20,60.20,4
10082,201B,201B,1M,34.18,40.80,36
10082,201B,201B,3M,38.14,45.00,38
10082,201B,201B,5M,30.40,34.40,3
10082,201C,201C,1M,27.17,35.25,27
10082,201C,201C,3M,31.32,38.25,20
10082,201C,201C,5M,26.55,32.25,5
10082,202A,202A,3M,18.60,20.70,3
10082,203B,203B,1M,46.09,57.50,66
10082,203B,203B,3M,41.83,51.70,35
10082,203C,203C,1M,29.00,40.00,14
10082,203C,203C,3M,31.08,47.50,28
10082,205C,205C,1M,44.57,58.50,7
10082,301B,301B,1M,33.98,45.05,42
10082,301B,301B,3M,38.57,54.15,43
10082,301B,301B,5M,31.88,34.00,4
10082,301C,301C,1M,27.44,36.00,20
10082,301C,301C,3M,30.92,39.60,20
10082,301C,301C,5M,25.92,33.60,5
10082,302C,302C,3M,26.78,28.05,2
10082,303B,303B,1M,46.77,64.80,46
10082,303B,303B,3M,44.79,56.35,29
10082,303C,303C,1M,32.55,34.65,6
10082,401B,401B,1M,31.28,39.75,44
10082,401B,401B,3M,29.93,42.00,4
10082,401B,401B,5M,31.50,31.50,1
10082,401C,401C,1M,21.35,23.80,6
10082,401C,401C,3M,19.07,20.15,6
10082,401C,401C,5M,21.70,23.10,2
10082,403B,403B,1M,46.06,57.60,30
10082,403B,403B,3M,42.04,53.55,51
10082,403B,403B,5M,52.80,52.80,1
10082,403C,403C,1M,37.31,46.20,12
10082,403C,403C,3M,33.57,38.95,12
10082,403C,403C,5M,40.15,47.30,6
10082,404C,404C,3M,36.80,42.00,6
10082,405B,405B,3M,55.46,70.50,38
10082,405C,405C,1M,54.84,66.65,46
10082,405C,405C,3M,44.18,59.40,21
10082,5111A,5111A,1M,27.45,32.40,2
10082,5132D,5132D,1M,44.09,59.40,46
10082,5132D,5132D,3M,41.61,53.55,50
10082,5132D,5132D,5M,39.78,48.40,6
10082,5134D,5134D,1M,57.11,71.50,14
10082,5223D,5223D,1M,36.92,46.00,10
10082,5225D,5225D,1M,0.00,0.00,1
10082,5231D,5231D,1M,31.50,31.50,1
10082,5231D,5231D,3M,34.33,36.00,6
10082,5231D,5231D,5M,38.15,40.95,3
10082,5233D,5233D,1M,45.82,60.00,26
10082,5233D,5233D,3M,50.01,58.80,17
10082,5235D,5235D,1M,52.86,66.70,24
10082,5235D,5235D,3M,59.54,67.20,17
10082,5333D,5333D,1M,52.00,58.50,2
10082,5335D,5335D,1M,57.07,81.00,21
10082,5335D,5335D,3M,54.74,69.60,10
10082,612B,612B,5M,25.50,34.85,6
10082,612C,612C,5M,22.13,27.00,2
10209,101B,101B,3M,25.75,27.75,3
10209,103B,103B,1M,32.41,41.65,15
10209,103B,103B,3M,29.10,33.60,8
10209,105B,105B,1M,16.90,31.20,3
10209,105B,105B,3M,44.10,55.20,12
10209,105C,105C,1M,38.96,52.80,15
10209,201B,201B,1M,30.56,37.60,15
10209,201B,201B,3M,33.55,40.50,11
10209,203B,203B,1M,32.20,42.55,17
10209,205C,205C,3M,29.71,51.80,9
10209,301B,301B,1M,31.28,40.80,15
10209,301B,301B,3M,33.77,41.80,11
10209,303B,303B,1M,36.53,40.80,9
10209,303C,303C,1M,25.99,30.45,4
10209,303C,303C,3M,31.33,33.00,3
10209,305C,305C,3M,32.60,51.80,7
10209,401A,401A,1M,31.05,38.70,4
10209,401B,401B,1M,29.45,31.50,11
10209,403B,403B,1M,40.95,57.60,16
10209,403B,403B,3M,39.48,46.20,5
10209,403C,403C,1M,40.15,41.80,2
10209,403C,403C,3M,35.47,39.90,6
10209,404C,404C,1M,43.40,50.40,3
10209,405C,405C,3M,46.24,59.40,12
10209,5132D,5132D,1M,39.38,46.20,15
10209,5132D,5132D,3M,37.70,46.20,11
10209,5134D,5134D,1M,29.81,46.80,15
10209,5134D,5134D,3M,31.88,38.75,2
10209,5225D,5225D,1M,34.20,37.80,3
10209,5235D,5235D,3M,28.84,37.80,10
10404,101B,101B,3M,20.55,28.50,5
10404,103B,103B,1M,31.31,35.70,6
10404,103B,103B,3M,28.80,28.80,1
10404,104B,104B,1M,38.91,43.70,6
10404,104C,104C,1M,29.70,29.70,1
10404,105B,105B,1M,40.87,50.70,17
10404,105B,105B,3M,48.13,56.40,19
10404,105C,105C,1M,33.60,42.00,5
10404,201B,201B,1M,26.93,30.40,6
10404,201B,201B,3M,25.38,33.30,5
10404,203A,203A,3M,38.40,38.40,1
10404,203B,203B,1M,41.73,52.90,30
10404,205B,205B,3M,47.59,67.50,11
10404,205C,205C,3M,44.93,58.80,11
10404,301B,301B,1M,29.07,30.60,5
10404,301B,301B,3M,25.18,34.20,6
10404,303B,303B,1M,40.78,54.00,28
10404,303C,303C,1M,34.65,35.70,2
10404,305B,305B,3M,25.50,30.00,3
10404,305C,305C,3M,41.01,56.00,19
10404,401B,401B,1M,26.46,30.00,7
10404,401B,401B,3M,25.20,25.20,1
10404,403B,403B,1M,45.70,59.40,29
10404,403B,403B,3M,29.40,39.90,5
10404,405B,405B,3M,35.00,48.00,3
10404,405C,405C,3M,46.75,64.80,19
10404,5225D,5225D,1M,32.40,32.40,1
10404,5231D,5231D,1M,36.12,40.95,10
10404,5231D,5231D,3M,29.00,36.00,7
10404,5233D,5233D,1M,43.78,56.25,23
10404,5233D,5233D,3M,41.40,43.20,2
10404,5235D,5235D,3M,49.59,57.40,19
10404,5333D,5333D,1M,43.60,54.60,12
10404,5335D,5335D,3M,49.40,59.45,14
10957,101A,101A,3M,34.92,37.20,2
10957,101B,101B,1M,27.52,29.25,3
10957,101B,101B,3M,31.63,47.00,15
10957,101B,101B,5M,34.00,46.00,7
10957,101B,101B,7.5M,27.00,27.00,1
10957,101C,101C,3M,23.10,25.20,4
10957,103B,103B,1M,33.73,53.00,24
10957,103B,103B,3M,31.68,36.00,5
10957,103B,103B,5M,37.26,41.65,6
10957,103C,103C,3M,35.33,41.40,2
10957,104C,104C,1M,30.80,30.80,1
10957,104C,104C,3M,32.00,42.00,2
10957,105B,105B,3M,41.03,57.60,32
10957,105B,105B,5M,20.80,31.20,2
10957,105C,105C,1M,38.40,50.40,37
10957,105C,105C,5M,44.40,44.40,1
10957,106C,106C,1M,0.00,0.00,2
10957,106C,106C,3M,0.00,0.00,1
10957,201A,201A,3M,38.87,44.00,4
10957,201A,201A,5M,21.42,21.42,1
10957,201B,201B,1M,32.74,48.00,27
10957,201B,201B,3M,35.08,46.80,23
10957,201C,201C,3M,33.15,33.15,1
10957,202A,202A,3M,25.92,34.56,2
10957,202C,202C,7.5M,25.60,25.60,1
10957,203A,203A,3M,31.80,50.40,4
10957,203B,203B,1M,37.68,50.60,39
10957,203B,203B,5M,31.05,31.05,1
10957,203C,203C,3M,35.15,35.15,1
10957,205C,205C,3M,42.32,61.60,34
10957,301A,301A,1M,28.08,28.08,1
10957,301B,301B,1M,33.72,41.65,27
10957,301B,301B,3M,36.63,43.70,18
10957,301C,301C,3M,26.82,32.40,5
10957,301C,301C,5M,13.20,13.20,1
10957,302C,302C,3M,29.58,32.30,5
10957,303B,303B,1M,40.36,49.20,22
10957,304C,304C,1M,34.58,40.25,3
10957,305C,305C,3M,38.17,54.60,15
10957,401B,401B,1M,30.71,37.50,27
10957,401B,401B,3M,30.99,44.40,9
10957,401B,401B,5M,34.13,36.00,7
10957,402C,402C,3M,22.60,27.00,2
10957,403B,403B,1M,43.14,51.60,38
10957,403B,403B,3M,37.66,51.45,22
10957,403C,403C,1M,37.40,37.40,1
10957,403C,403C,3M,15.20,30.40,2
10957,403C,403C,5M,39.60,39.60,2
10957,404C,404C,1M,21.00,21.00,1
10957,404C,404C,3M,36.00,36.00,1
10957,405C,405C,3M,39.95,62.10,22
10957,5111A,5111A,3M,16.30,21.60,2
10957,5111A,5111A,5M,24.84,24.84,1
10957,5122D,5122D,1M,35.34,35.34,1
10957,5132D,5132D,1M,40.82,55.00,28
10957,5132D,5132D,3M,39.76,50.40,16
10957,5132D,5132D,5M,42.90,53.90,7
10957,5134D,5134D,1M,0.00,0.00,1
10957,5134D,5134D,3M,40.50,40.50,1
10957,5211A,5211A,5M,27.00,27.00,1
10957,5221D,5221D,1M,37.80,37.80,1
10957,5223D,5223D,1M,38.46,41.40,9
10957,5225D,5225D,1M,42.53,51.30,6
10957,5233D,5233D,1M,41.67,52.50,36
10957,5233D,5233D,3M,46.28,56.40,16
10957,5233D,5233D,5M,47.08,58.75,6
10957,5235D,5235D,3M,45.34,64.40,31
10957,5311A,5311A,3M,32.45,38.00,4
